sentence,aspect_term,category,opinion_term,polarity,implicitness
i had a great experience .,implicit,general,great experience,positive,IAEO
food is great .,food is,quality,great .,positive,EAEO
service is top notch .,service is,general,top notch .,positive,EAEO
i have been going back again and again .,implicit,general,implicit,positive,IAIO
"it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .",implicit,quality,perfect consistency -,positive,IAEO
the sushi seemed pretty fresh and was adequately proportioned .,sushi seemed,quality,fresh and,positive,EAEO
the sushi seemed pretty fresh and was adequately proportioned .,sushi seemed,ambience,proportioned .,positive,EAEO
the rice to fish ration was also good - - they did n ' t try to overpack the rice .,rice to fish ration was,ambience,good -,positive,EAEO
we took advanatage of the half price sushi deal on saturday so it was well worth it .,half price sushi deal on,quality,worth it,positive,EAEO
surprisingly nothing could be further from the truth .,implicit,general,surprisingly nothing,positive,IAEO
"in the evening , this place attracted a well dressed , with it , ny crowd .",crowd .,general,attracted a,positive,EAEO
the food was well prepared and the service impecable .,food was,quality,well prepared and,positive,EAEO
the food was well prepared and the service impecable .,service impecable,general,impecable .,positive,EAEO
i ' m going back .,implicit,general,implicit,positive,IAIO
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .,implicit,general,tranquility .,positive,IAEO
i will be going back and heartily recommend it !,implicit,general,recommend it,positive,IAEO
"it is terrific , as is the value .",implicit,quality,"terrific ,",positive,IAEO
"it is terrific , as is the value .",implicit,price,"terrific ,",positive,IAEO
"$ 6 and there is much tasty food , all of it fresh and continually refilled .","food ,",ambience,refilled .,positive,EAEO
"$ 6 and there is much tasty food , all of it fresh and continually refilled .","food ,",quality,tasty food,positive,EAEO
"$ 6 and there is much tasty food , all of it fresh and continually refilled .","food ,",quality,fresh and,positive,EAEO
"$ 6 and there is much tasty food , all of it fresh and continually refilled .","food ,",price,implicit,positive,EAIO
"i am not a vegetarian but , almost all the dishes were great .",dishes were,quality,great .,positive,EAEO
go hungry and enjoy .,implicit,general,enjoy .,positive,IAEO
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .","somosas ,",quality,like the,positive,EAEO
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .","chai ,",quality,like the,positive,EAEO
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .","chole ,",quality,like the,positive,EAEO
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhosas and,quality,disappointing .,negative,EAEO
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",dhal were,quality,disappointing .,negative,EAEO
"the service varys from day to day - sometimes they ' re very nice , and sometimes not .",service varys,general,varys from,negative,EAEO
"the kitchen however , is almost always slow .",kitchen however,general,slow .,negative,EAEO
if you ' ve ever been along the river in weehawken you have an idea of the top of view the chart house has to offer .,view the,general,implicit,positive,EAIO
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service and,general,great service,positive,EAEO
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food at,quality,great food,positive,EAEO
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food at,price,great food,positive,EAEO
the lava cake dessert was incredible and i recommend it .,lava cake dessert was,quality,incredible and,positive,EAEO
the lava cake dessert was incredible and i recommend it .,lava cake dessert was,quality,recommend it,positive,EAEO
"once you step into cosette , you ' re miraculously in a small , off - the - beaten path parisian bistro .","cosette ,",general,off - the - beaten path,positive,EAEO
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",restaurant is,general,tiny restaurant,positive,EAEO
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",restaurant is,general,cozy as,positive,EAEO
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food was,quality,average to above - average ;,positive,EAEO
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",french onion soup filling,quality,"not overly impressive ,",neutral,EAEO
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",desserts not,quality,not brilliant in,negative,EAEO
"however , go for the ambience , and consider the food just a companion for a trip across the world !","ambience ,",general,implicit,negative,EAIO
"however , go for the ambience , and consider the food just a companion for a trip across the world !",food just,quality,implicit,positive,EAIO
the pizza was delivered cold and the cheese was n ' t even fully melted !,pizza was,quality,cold and,negative,EAEO
the pizza was delivered cold and the cheese was n ' t even fully melted !,cheese was,quality,was n ' t even fully melted !,negative,EAEO
it looked like shredded cheese partly done - still in strips .,implicit,quality,implicit,negative,IAIO
this has got to be one of the most overrated restaurants in brooklyn .,implicit,general,overrated restaurants,negative,IAEO
the pizza is overpriced and soggy .,pizza is,quality,soggy .,negative,EAEO
the pizza is overpriced and soggy .,pizza is,price,overpriced and,negative,EAEO
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .","ingredients ,",quality,fancy ingredients,positive,EAEO
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",pizza unless,quality,good pizza,negative,EAEO
"yes , they use fancy ingredients , but even fancy ingredients do n ' t make for good pizza unless someone knows how to get the crust right .",crust right,quality,implicit,negative,EAIO
"a big disappointment , all around .",implicit,general,"disappointment ,",negative,IAEO
i think i ' ve had some the best meals of my life at minnow .,meals of,quality,best meals,positive,EAEO
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",seafood is,quality,"amazing ,",positive,EAEO
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .","wine list ,",ambience,good wine,positive,EAEO
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",menu always,ambience,ever - changing menu,positive,EAEO
"the seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",menu always,ambience,great surprises .,positive,EAEO
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients in,quality,super - fresh ingredients,positive,EAEO
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients in,quality,unusual but,positive,EAEO
the combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients in,quality,delicious .,positive,EAEO
worth the trip from manhattan .,implicit,general,worth the,positive,IAEO
best pastrami i ever had and great portion without being ridiculous .,pastrami i,quality,best pastrami,positive,EAEO
best pastrami i ever had and great portion without being ridiculous .,portion without,ambience,great portion,positive,EAEO
my wife had the fried shrimp which are huge and loved it .,fried shrimp which,ambience,huge and,positive,EAEO
my wife had the fried shrimp which are huge and loved it .,fried shrimp which,quality,loved it,positive,EAEO
"as a japanese native , i ' ve lived in the tristate area for over 8 years , but i was just so amazed at this place .",place .,general,amazed at,positive,EAEO
this place is the most japanese it can ever get .,place is,general,japanese it,positive,EAEO
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .","signs ,",general,japanese .,positive,EAEO
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .","specials menus ,",ambience,japanese .,positive,EAEO
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .","food ,",quality,japanese .,positive,EAEO
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",waitstaff are,general,japanese .,positive,EAEO
this place is worth an one - hour drive .,place is,general,worth an,positive,EAEO
"i am so coming back here again , as much as i can .",implicit,general,implicit,positive,IAIO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",leon is,general,casual but,positive,EAEO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",leon is,general,"hip ,",positive,EAEO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .","specials ,",quality,good specials,positive,EAEO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",atmosphere .,general,warm and,positive,EAEO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .",atmosphere .,general,lively atmosphere,positive,EAEO
"leon is an east village gem : casual but hip , with well prepared basic french bistro fare , good specials , a warm and lively atmosphere .","french bistro fare ,",quality,well prepared basic,positive,EAEO
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .","staff ,",general,enjoy the,positive,EAEO
"my wife and i always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .","staff ,",general,"friendly ,",positive,EAEO
decent wine at reasonable prices .,wine at,quality,decent wine,neutral,EAEO
decent wine at reasonable prices .,wine at,price,reasonable prices,positive,EAEO
"our teenage kids love it , too .",implicit,general,love it,positive,IAEO
"everytime i decide to try another place on the ues , i get angry that i did n ' t just go to zucchero pomodori .",zucchero pomodori .,general,implicit,positive,EAIO
this is by far my favorite place in the neighborhood .,place in,general,favorite place,positive,EAEO
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",service is,general,"excellent ,",positive,EAEO
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",decor is,general,"great ,",positive,EAEO
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",food is,quality,delicious and,positive,EAEO
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",portions .,ambience,large portions,positive,EAEO
i ' m partial to the gnocchi .,gnocchi .,general,partial to,positive,EAEO
this place is incredibly tiny .,place is,general,tiny .,negative,EAEO
they refuse to seat parties of 3 or more on weekends .,implicit,general,refuse to,negative,IAEO
the hostess is rude to the point of being offensive .,hostess is,general,rude to,negative,EAEO
the hostess is rude to the point of being offensive .,hostess is,general,offensive .,negative,EAEO
the food was bland oily .,food was,quality,bland oily .,negative,EAEO
i just do n ' t understand all the hype . . .,implicit,general,hype .,negative,IAEO
"we have been to this place many times , and always have great food , wine , and service .","food ,",quality,great food,positive,EAEO
"we have been to this place many times , and always have great food , wine , and service .","wine ,",quality,great food,positive,EAEO
"we have been to this place many times , and always have great food , wine , and service .",service .,general,great food,positive,EAEO
"we were worried we would have trouble getting in , but somehow managed to have a short wait .",wait .,general,short wait,positive,EAEO
as always we had a great glass of wine while we waited .,glass of wine while,quality,great glass,positive,EAEO
"when we sat , we got great and fast service .",service .,general,great and,positive,EAEO
"when we sat , we got great and fast service .",service .,general,fast service,positive,EAEO
the people that work there are always so friendly you forget you are in new york sometimes .,people that,general,friendly you,positive,EAEO
this is a fun restaurant to go to .,restaurant to,general,fun restaurant,positive,EAEO
the pizza is yummy and i like the atmoshpere .,pizza is,quality,yummy and,positive,EAEO
the pizza is yummy and i like the atmoshpere .,atmoshpere .,general,like the,positive,EAEO
but the pizza is way to expensive .,pizza is,price,expensive .,negative,EAEO
"a large is $ 20 , and toppings are about $ 3 each .",implicit,price,implicit,negative,IAIO
"a large is $ 20 , and toppings are about $ 3 each .",toppings are,price,implicit,negative,EAIO
i went there for lunch and it was not as good as i expected from the reviews i read .,lunch and,quality,not as good as i expected from,negative,EAEO
sauce was watery and the food did n ' t have much flavor .,sauce was,quality,watery and,negative,EAEO
sauce was watery and the food did n ' t have much flavor .,food did,quality,implicit,negative,EAIO
i do n ' t think i would go again .,implicit,general,implicit,negative,IAIO
this place is great .,place is,general,great .,positive,EAEO
the waitress was very patient with us and the food is phenomenal !,waitress was,general,patient with,positive,EAEO
the waitress was very patient with us and the food is phenomenal !,food is,quality,phenomenal !,positive,EAEO
"service was prompt , friendly and great .",service was,general,"prompt ,",positive,EAEO
"service was prompt , friendly and great .",service was,general,friendly and,positive,EAEO
"service was prompt , friendly and great .",service was,general,great .,positive,EAEO
slightly on the pricey side but worth it !,implicit,price,pricey side,negative,IAEO
slightly on the pricey side but worth it !,implicit,general,worth it,positive,IAEO
great pizza and fantastic service .,pizza and,quality,great pizza,positive,EAEO
great pizza and fantastic service .,service .,general,fantastic service,positive,EAEO
"there was a small wait , but shorter than i expected .","wait ,",general,small wait,positive,EAEO
"there was a small wait , but shorter than i expected .","wait ,",general,shorter than,positive,EAEO
located at the end of a magnificent block .,implicit,general,magnificent block,positive,IAEO
very cozy and warm inside . . . . .,implicit,general,cozy and,positive,IAEO
very cozy and warm inside . . . . .,implicit,general,warm inside,positive,IAEO
i will be back !,implicit,general,implicit,positive,IAIO
this is the best sushi in new york city - hands down .,sushi in,quality,best sushi,positive,EAEO
the place is small and cramped but the food is fantastic .,place is,general,small and,negative,EAEO
the place is small and cramped but the food is fantastic .,place is,general,cramped but,negative,EAEO
the place is small and cramped but the food is fantastic .,food is,quality,fantastic .,positive,EAEO
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .","sushi ,",quality,"great ,",positive,EAEO
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",thai food is,quality,excellent too,positive,EAEO
"planet thailand has always been a hit with me , i go there usually for the sushi , which is great , the thai food is excellent too .",planet thailand has,general,hit with,positive,EAEO
"with the great variety on the menu , i eat here often and never get bored .","menu ,",ambience,great variety on,positive,EAEO
"the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down .",atmosphere is,general,"is n ' t the greatest ,",negative,EAEO
"the atmosphere is n ' t the greatest , but i suppose that ' s how they keep the prices down .",implicit,price,down .,positive,IAEO
it ' s all about the food ! !,food !,quality,implicit,positive,EAIO
first it took us a long time to find the place .,place .,general,implicit,negative,EAIO
"but when we looked at the menu , there were n ' t a lot of choices , most of them were dumplings in the appetizer section .","menu ,",ambience,implicit,negative,EAIO
"those rolls were big , but not good and sashimi was n ' t fresh .",rolls were,ambience,"big ,",neutral,EAEO
"those rolls were big , but not good and sashimi was n ' t fresh .",rolls were,quality,not good and,negative,EAEO
"those rolls were big , but not good and sashimi was n ' t fresh .",sashimi was,quality,was n ' t fresh .,negative,EAEO
"they were dry and disgusting , i did n ' t even finish my first piece .",implicit,quality,dry and,negative,IAEO
"they were dry and disgusting , i did n ' t even finish my first piece .",implicit,quality,"disgusting ,",negative,IAEO
hurley ' s is like cheers where everyone knows your name and they are actually glad you came .,implicit,general,glad you,positive,IAEO
"try the crunchy tuna , it is to die for .","crunchy tuna ,",quality,die for .,positive,EAEO
"try everything for that matter , it is all good .",implicit,quality,good .,positive,IAEO
i have been going there since it opened and i ca n ' t get enough .,implicit,general,implicit,positive,IAIO
first went here to enjoy their garden terrace .,garden terrace .,general,enjoy their,positive,EAEO
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",food was,quality,"amazing ,",positive,EAEO
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",service was,general,prompt and,positive,EAEO
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",service was,general,"helpful ,",positive,EAEO
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",service was,general,not over - bearing,positive,EAEO
"the food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",service was,general,or rushed,positive,EAEO
"the steak tartare is a great bet , they fix it for you at the table .",steak tartare is,ambience,great bet,positive,EAEO
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen is,general,charm .,positive,EAEO
"admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",restaurant were,general,"warm ,",negative,EAEO
"great wine selection , gigondas is worth the price , and the house champagne is a great value .","wine selection ,",ambience,great wine,positive,EAEO
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",gigondas is,quality,worth the,positive,EAEO
"great wine selection , gigondas is worth the price , and the house champagne is a great value .",house champagne is,price,great value .,positive,EAEO
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",vibe is,general,good and,positive,EAEO
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",french food you,quality,best french,positive,EAEO
"it may be a bit packed on weekends , but the vibe is good and it is the best french food you will find in the area .",implicit,general,packed on,neutral,IAEO
"have recommended the place to friends , always gets good response .",place to,general,recommended the,positive,EAEO
"have recommended the place to friends , always gets good response .",implicit,general,good response,positive,IAEO
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza in,quality,implicit,positive,EAIO
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust tastes,quality,"best ,",positive,EAEO
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best , freshly baked bread !",crust tastes,quality,freshly baked bread,positive,EAEO
i take all my nyc guests to vt ' s .,vt ' s .,general,implicit,positive,EAIO
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",neighborhood and,general,great neighborhood,positive,EAEO
"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",food !,quality,great food,positive,EAEO
i ' ve been there three times and have always had wonderful experiences .,implicit,general,wonderful experiences,positive,IAEO
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,setting and,general,intimate setting,positive,EAEO
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,service .,general,nice service,positive,EAEO
i ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,implicit,general,recommend it,positive,IAEO
i ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much . . . and we ' re repeat customers .,mizu very,general,enjoy mizu,positive,EAEO
even after they overcharged me the last time i was there .,implicit,general,overcharged me,negative,IAEO
it ' s delicious !,implicit,quality,delicious !,positive,IAEO
"moules were excellent , lobster ravioli was very salty !",moules were,quality,"excellent ,",positive,EAEO
"moules were excellent , lobster ravioli was very salty !",lobster ravioli was,quality,salty !,negative,EAEO
"took my mom for mother ' s day , and the maitre d ' was pretty rude .",maitre d ' was,general,rude .,negative,EAEO
"told us to sit anywhere , and when we sat he said the table was reserved .",implicit,general,implicit,negative,IAIO
stepped on my foot on the second time he reached over me to adjust lighting .,implicit,general,implicit,negative,IAIO
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert was,ambience,tiny dessert,negative,EAEO
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert was,quality,implicit,negative,EAIO
tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert was,price,overpriced for,negative,EAEO
the drinks are always well made and wine selection is fairly priced .,drinks are,quality,well made and,positive,EAEO
the drinks are always well made and wine selection is fairly priced .,wine selection is,price,fairly priced .,positive,EAEO
try their chef ' s specials - - they are to die for .,chef ' s specials -,quality,die for .,positive,EAEO
"service is not exactly five star , but thats not really a big deal .",service is,general,"not exactly five star ,",neutral,EAEO
downstairs lounge is always a good attraction,downstairs lounge is,general,good attraction,positive,EAEO
the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food is,ambience,beautifully presented and,positive,EAEO
the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food is,quality,delight in,positive,EAEO
it is also extremely well priced .,implicit,price,extremely well priced,positive,IAEO
the staff is incredibly helpful and attentive .,staff is,general,helpful and,positive,EAEO
the staff is incredibly helpful and attentive .,staff is,general,attentive .,positive,EAEO
the bar is very well stocked with interesting beers and well priced wines .,bar is,ambience,well stocked with,positive,EAEO
the bar is very well stocked with interesting beers and well priced wines .,beers and,ambience,interesting beers,positive,EAEO
the bar is very well stocked with interesting beers and well priced wines .,wines .,price,well priced wines,positive,EAEO
this is one of my favorite restaurants and it is not to be missed .,implicit,general,favorite restaurants,positive,IAEO
your friends will thank you for introducing them to this gem !,implicit,general,gem !,positive,IAEO
"when we stumbled on leon , we thought that we had found quite the gem but , we were certainly wrong .","leon ,",general,implicit,negative,EAIO
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",waitress moved,general,implicit,negative,EAIO
"then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",implicit,general,implicit,negative,IAIO
such a disappointment . . .,implicit,general,disappointment .,negative,IAEO
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one","service ,",general,rude service,negative,EAEO
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",food .,quality,medicore food,neutral,EAEO
"rude service , medicore food . . . there are tons of restaurants in ny . . . stay away from this one",implicit,general,implicit,negative,IAIO
i loved everythig about it - especially the shows and actors .,shows and,general,loved everythig,positive,EAEO
i loved everythig about it - especially the shows and actors .,actors .,general,loved everythig,positive,EAEO
i loved everythig about it - especially the shows and actors .,implicit,general,loved everythig,positive,IAEO
our server was very helpful and friendly .,server was,general,helpful and,positive,EAEO
our server was very helpful and friendly .,server was,general,friendly .,positive,EAEO
the food was good too .,food was,quality,good too,positive,EAEO
the tuna and wasabe potatoes are excellent .,tuna and,quality,excellent .,positive,EAEO
the tuna and wasabe potatoes are excellent .,wasabe potatoes are,quality,excellent .,positive,EAEO
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere of,general,wonderful .,positive,EAEO
"inside is a little cramped , but to be expected .",implicit,general,"cramped ,",neutral,IAEO
service was prompt and courteous .,service was,general,prompt and,positive,EAEO
service was prompt and courteous .,service was,general,courteous .,positive,EAEO
this was a repeat visit and we ' ll definitely be back again .,implicit,general,implicit,positive,IAIO
"great service , great food .","service ,",general,great service,positive,EAEO
"great service , great food .",food .,quality,great food,positive,EAEO
prices are in line .,implicit,price,in line .,neutral,IAEO
but too far east !,implicit,general,far east,negative,IAEO
