Sentence,Aspect,Category,Opinion,Polarity,Implicitness
had to return .,null,cost/value,had to return,negative,IAEO
these new ones are ugly and have too much sole .,sole,appearance#shoe component,have too much sole,negative,EAEO
these new ones are ugly and have too much sole .,null,appearance#form,new ones are ugly,negative,IAEO
i bought like 4 pairs of the last minimus tr please bring them back,minimus,contextofuse#purchase\_context,please bring them back,neutral,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,performance#comfort,didn ' t think they would be as comfortable as they are without padding,positive,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,performance#use case applicability,very comfortable for my purpose as a house shoe,positive,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,cost/value,these are a part of my collection and i can ' t complain,positive,EAEO
these shoes are too high for my feet .,shoes,appearance#form,too high for my feet,negative,EAEO
they cut into my ankles .,null,performance#comfort,cut into my ankles,negative,IAEO
they cut into my ankles .,ankles,appearance#shoe component,cut into my ankles,negative,EAEO
they had been reccommended for support and wide toe box but didn ' t meet either expectation .,toe box,appearance#shoe component,had been reccommended for support and wide toe box but didn ' t meet either expectation,negative,EAEO
they had been reccommended for support and wide toe box but didn ' t meet either expectation .,null,performance#support/stability,had been reccommended for support and wide toe box but didn ' t meet either expectation,negative,IAEO
i have bunions and have problems finding a shoe with wide toe box and normal heel .,shoe,appearance#form,problems finding a shoe with wide toe box and normal heel,neutral,EAEO
i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion .,sneaker,contextofuse#purchase\_context,ordered this sneaker in the size i normally wear and in a wide width,neutral,EAEO
the sneaker is extremely well made .,sneaker,appearance#misc,extremely well made,positive,EAEO
it ' s a solid shoe and very cute .,shoe,general,it ' s a solid shoe,positive,EAEO
it ' s a solid shoe and very cute .,shoe,appearance#general,very cute,positive,EAEO
"the width was great , but the length was too short .",width,appearance#shoe component,"width was great , but the length was too short",positive,EAEO
"the width was great , but the length was too short .",length,appearance#shoe component,"width was great , but the length was too short",negative,EAEO
"the width was great , but the length was too short .",null,performance#sizing/fit,"width was great , but the length was too short",neutral,IAEO
my toes were right at the end .,toes,appearance#shoe component,were right at the end,negative,EAEO
unfortunately i had to send them back .,null,cost/value,unfortunately i had to send them back,negative,IAEO
had to cut off front of shore to wear sorry i bought on line,shore,performance#sizing/fit,had to cut off front of shore to wear,negative,EAEO
had to cut off front of shore to wear sorry i bought on line,shore,contextofuse#purchase\_context,sorry i bought on line,negative,EAEO
these shoes are comfortable and supportive .,shoes,performance#comfort,comfortable,positive,EAEO
these shoes are comfortable and supportive .,shoes,performance#support/stability,supportive,positive,EAEO
money worth spent this time around .,null,cost/value,money worth spent this time around,positive,IAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable .,shoe,performance#use case applicability,i am not happy because the shoe is heavy,negative,EAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable .,arch,appearance#shoe component,is not comfortable,negative,EAEO
the size is a tad bit short .,null,performance#sizing/fit,size is a tad bit short,negative,IAEO
i will not purchase this shoe again .,shoe,cost/value,i will not purchase this shoe again,negative,EAEO
i think i would ' ve loved these shoes but they were like 1 / 2 inch too short compared to every other pair of nb shoes i ' ve had over 20 years .,shoes,performance#sizing/fit,i think i would ' ve loved these shoes but they were like 1 / 2 inch too short,negative,EAEO
i don ' t understand how they haven ' t fixed this yet .,null,performance#general,i don ' t understand how they haven ' t fixed this yet,negative,IAEO
"my wife ordered a pair ( the ones this review is based on ) and same thing , too short .",null,contextofuse#purchase\_context,"my wife ordered a pair ( the ones this review is based on ) and same thing , too short",neutral,IAEO
"my wife ordered a pair ( the ones this review is based on ) and same thing , too short .",null,performance#sizing/fit,"my wife ordered a pair ( the ones this review is based on ) and same thing , too short",negative,IAEO
"i like the roomy toe box , but they are a little shorter than usual so bother my toes after awhile .",toe box,appearance#shoe component,i like the roomy toe box,positive,EAEO
"i like the roomy toe box , but they are a little shorter than usual so bother my toes after awhile .",null,performance#sizing/fit,they are a little shorter than usual so bother my toes after awhile,negative,IAEO
should have ordered up .,null,contextofuse#purchase\_context,should have ordered up .,neutral,IAEO
"i walk at least 5 miles a day , so i need good walking shoes .",walking shoes,contextofuse#use case,"i walk at least 5 miles a day , so i need good walking shoes .",neutral,EAEO
these fill the bill .,null,general,these fill the bill .,positive,IAEO
i like them so much that i got 2 pairs .,pairs,cost/value,i like them so much that i got 2 pairs .,positive,EAEO
"the color and comfort of these shoes was everything , but i had to return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses .",shoes,performance#comfort,color and comfort of these shoes was everything,positive,EAEO
"the color and comfort of these shoes was everything , but i had to return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses .",shoes,appearance#color,color and comfort of these shoes was everything,positive,EAEO
"the color and comfort of these shoes was everything , but i had to return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses .",vinyl,appearance#material,return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses,negative,EAEO
"the color and comfort of these shoes was everything , but i had to return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses .",3 stripes,appearance#shoe component,return dude to the vinyl of the 3 stripes peeling right off the shoe material after 3 uses,negative,EAEO
i wish they would have worked out they were so nice .,null,general,i wish they would have worked out they were so nice,neutral,IAEO
love these shoes but received 2 pairs that were defective before i finally got a good pair .,shoes,general,love these,positive,EAEO
love these shoes but received 2 pairs that were defective before i finally got a good pair .,shoes,contextofuse#purchase\_context,received 2 pairs that were defective before i finally got a good pair,negative,EAEO
giving these 4 stars because i like the shoe itself but there ' s small spot of glue or something on the front of the shoe .,shoe,general,4 stars because i like,positive,EAEO
giving these 4 stars because i like the shoe itself but there ' s small spot of glue or something on the front of the shoe .,shoe,appearance#material,small spot of glue or something on the front of the shoe,negative,EAEO
not trying to exchange them again because it ' s been too much of a hassle .,null,contextofuse#purchase\_context,not trying to exchange them again because it ' s been too much of a hassle,negative,IAEO
i ' m usually a size 8 but had to get a half size smaller .,null,performance#sizing/fit,i ' m usually a size 8 but had to get a half size smaller,negative,IAEO
it was very comfortable .,null,performance#comfort,very comfortable,positive,IAEO
i wear it to work everyday and it never hurts my feet .,null,contextofuse#use case,i wear it to work everyday,positive,IAEO
i wear it to work everyday and it never hurts my feet .,null,contextofuse#usage frequency,i wear it to work everyday,positive,IAEO
i wear it to work everyday and it never hurts my feet .,null,performance#comfort,it never hurts my feet,positive,IAEO
"too much money , for this shoe .",shoe,cost/value,too much money,negative,EAEO
had to purchase a insole support .,null,performance#support/stability,had to purchase a insole support,negative,IAEO
they were a gift to my wife .,null,contextofuse#purchase\_context,a gift to my wife,neutral,IAEO
most comfortable shoes she ' s had and she loves the look .,shoes,performance#comfort,most comfortable,positive,EAEO
most comfortable shoes she ' s had and she loves the look .,shoes,appearance#form,she loves the look,positive,EAEO
"on the negative , the adidas white band above the sole cracked after wearing it 3 times .",the adidas white band above the sole,performance#durability,cracked after wearing it 3 times .,negative,EAEO
"on the negative , the adidas white band above the sole cracked after wearing it 3 times .",the adidas white band above the sole,appearance#shoe component,cracked after wearing it 3 times .,negative,EAEO
both shoes have multiple cracks in the front now .,both shoes,appearance#shoe component,have multiple cracks,negative,EAEO
makes me regret paying so much for such poor quality materials .,null,cost/value,makes me regret paying so much for such poor quality materials,negative,IAEO
makes me regret paying so much for such poor quality materials .,materials,appearance#material,makes me regret paying so much for such poor quality materials,negative,EAEO
"i was so excited to receive my new sneakers and when i tried them on , they were huge !",new sneakers,contextofuse#purchase\_context,so excited to receive,positive,EAEO
"i was so excited to receive my new sneakers and when i tried them on , they were huge !",new sneakers,performance#sizing/fit,"i tried them on , they were huge",negative,EAEO
"i ordered my normal size , womans 7 .",null,contextofuse#purchase\_context,i ordered my normal size,neutral,IAEO
"too big on toe , too big on sides .",sides,appearance#shoe component,"too big on toe , too big on sides",negative,EAEO
"too big on toe , too big on sides .",toe,appearance#shoe component,"too big on toe , too big on sides",negative,EAEO
"too big on toe , too big on sides .",null,performance#sizing/fit,"too big on toe , too big on sides",negative,IAEO
i definitely have to return .,null,cost/value,have to return,negative,IAEO
very unhappy .,null,general,very unhappy,negative,IAEO
"i really wanted to have some white adidas , however , these shoes fit better on those that have larger ankles .",adidas,contextofuse#purchase\_context,i really wanted to have some white adidas,neutral,EAEO
"i really wanted to have some white adidas , however , these shoes fit better on those that have larger ankles .",white,appearance#color,i really wanted to have some white adidas,positive,EAEO
"i really wanted to have some white adidas , however , these shoes fit better on those that have larger ankles .",shoes,performance#sizing/fit,fit better on those that have larger ankles,positive,EAEO
"i really wanted to have some white adidas , however , these shoes fit better on those that have larger ankles .",shoes,appearance#form,fit better on those that have larger ankles,positive,EAEO
"they look good , but i feel you ' d be better off with other white pairs compared to this .",null,appearance#general,"they look good , but i feel you ' d be better off with other white pairs compared to this",negative,IAEO
sending these back .,null,cost/value,sending these back,negative,IAEO
the quality on these are a joke !,null,appearance#misc,quality on these are a joke,negative,IAEO
super disappointed .,null,general,super disappointed,negative,IAEO
extremely comfortable .,null,performance#comfort,extremely comfortable,positive,IAEO
"i love the way they look , just wish i would ' ve gone half a size smaller .",null,appearance#general,love the way they look,positive,IAEO
"i love the way they look , just wish i would ' ve gone half a size smaller .",null,performance#sizing/fit,wish i would ' ve gone half a size smaller,negative,IAEO
"really poor quality of the product for the price , you could see the glue coming off within days .",product,cost/value,really poor quality of the product for the price,negative,EAEO
"really poor quality of the product for the price , you could see the glue coming off within days .",null,appearance#shoe component,you could see the glue coming off within days,negative,IAEO
"really poor quality of the product for the price , you could see the glue coming off within days .",null,contextofuse#review\_temporality,you could see the glue coming off within days,negative,IAEO
also the gold part started peeling off .,gold part,appearance#shoe component,peeling off,negative,EAEO
sending these back .,null,contextofuse#purchase\_context,sending these back,negative,IAEO
the quality on these are a joke !,null,appearance#misc,the quality on these are a joke,negative,IAEO
super disappointed .,null,general,super disappointed,negative,IAEO
i mean they are cute !,null,appearance#misc,i mean they are cute,positive,IAEO
but not sure about the writing in the sides that i can ' t read .,null,appearance#shoe component,not sure about the writing in the sides that i can ' t read,negative,IAEO
"if your looking for that perfect everyday shoe to wear to mostly every event except fancy events , this could be the one for you .",shoe,performance#use case applicability,perfect everyday shoe to wear to mostly every event except fancy events,positive,EAEO
this shoe is a classic !,shoe,general,is a classic,positive,EAEO
the colorway is a calm flex .,null,appearance#color,colorway is a calm flex,positive,IAEO
nothing crazy but they look so clean .,null,appearance#general,nothing crazy but they look so clean,positive,IAEO
you can wear them with long pants / jeans or shorts .,null,contextofuse#use case,you can wear them with long pants / jeans or shorts,positive,IAEO
the size was too small .,null,performance#sizing/fit,the size was too small,negative,IAEO
i am waiting for a refund so i can pruchase another size .,null,contextofuse#purchase\_context,i am waiting for a refund so i can pruchase another size,neutral,IAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoes,general,i really like,positive,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoes,contextofuse#review\_temporality,wearing them nonstop for the last 2 weeks,neutral,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoes,contextofuse#review\_temporality,i didn ' t give 5 stars because i haven ' t had them very long,neutral,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoe,performance#durability,the seams on the top side of the shoe just below the ankle are starting to ravel,negative,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",seams on the top side,appearance#shoe component,the seams on the top side of the shoe just below the ankle are starting to ravel,negative,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoe,performance#durability,wouldn ' t think this is a defect with this style,negative,EAEO
"although i really like these shoes i didn ' t give 5 stars because i haven ' t had them very long ( i ' ve been wearing them nonstop for the last 2 weeks ) and the seams on the top side of the shoe just below the ankle are starting to ravel , i wouldn ' t think this is a defect with this style ; not sure , but i like them so much that i would order them again .",shoe,cost/value,i like them so much that i would order them again,positive,EAEO
i feel something in my right foot sole of inner and outer .,null,performance#comfort,i feel something in my right foot sole of inner and outer,negative,IAEO
i feel something in my right foot sole of inner and outer .,right foot sole of inner and outer,appearance#form,i feel something in my right foot sole of inner and outer,negative,EAEO
i don ' t know if it ' s defective shoe or too small for my right foot .,shoe,appearance#misc,don ' t know if it ' s defective shoe or too small for my right foot,negative,EAEO
i don ' t know if it ' s defective shoe or too small for my right foot .,shoe,performance#sizing/fit,don ' t know if it ' s defective shoe or too small for my right foot,negative,EAEO
my left foot is fine .,null,appearance#form,my left foot is fine,neutral,IAEO
i also expected more cushion on these shoes but just like other typical shoes .,shoes,performance#comfort,i also expected more cushion on these shoes but just like other typical shoes,negative,EAEO
i also expected more cushion on these shoes but just like other typical shoes .,cushion,appearance#shoe component,i also expected more cushion on these shoes but just like other typical shoes,negative,EAEO
comfortable and stylish .,null,performance#comfort,comfortable and stylish,positive,IAEO
comfortable and stylish .,null,appearance#general,comfortable and stylish,positive,IAEO
i will be getting another pair soon !,null,cost/value,i will be getting another pair soon,positive,IAEO
"well , we never got to try the golf shoes as we were sent one shoe which was size 7 and the other was a 7 ½ .",shoe,performance#sizing/fit,sent one shoe which was size 7 and the other was a 7 ½,negative,EAEO
"well , we never got to try the golf shoes as we were sent one shoe which was size 7 and the other was a 7 ½ .",shoe,contextofuse#purchase\_context,sent one shoe which was size 7 and the other was a 7 ½,negative,EAEO
we sent them back two weeks ago and haven ' t heard anything back from nb since .,null,contextofuse#purchase\_context,sent them back two weeks ago and haven ' t heard anything back from nb since,negative,IAEO
very disappointing to say the least .,null,general,very disappointing,negative,IAEO
i ' ve been getting stan smiths for 35 years .,stan smiths,contextofuse#review\_temporality,i ' ve been getting stan smiths for 35 years,neutral,EAEO
these vegan material shoes are terrible .,shoes,appearance#material,vegan material shoes are terrible,negative,EAEO
please offer the leather stan smiths and please do not sell them on your website as original stan smith ' s .,stan smiths,contextofuse#purchase\_context,please offer the leather,neutral,EAEO
please offer the leather stan smiths and please do not sell them on your website as original stan smith ' s .,stan smiths,appearance#material,please offer the leather,neutral,EAEO
please offer the leather stan smiths and please do not sell them on your website as original stan smith ' s .,stan smith ' s,contextofuse#purchase\_context,please do not sell them on your website as original,negative,EAEO
they are not original .,null,general,not original,negative,IAEO
"call them "" eco "" stan smith ' s .",null,contextofuse#purchase\_context,"call them "" eco "" stan smith ' s",neutral,IAEO
torn in the 2nd time i put it on feet .,null,performance#durability,torn in the 2nd time i put it on,negative,IAEO
it fits perfect .,null,performance#sizing/fit,fits perfect,negative,IAEO
