Sentence,Aspect,Category,Opinion,Polarity,Implicitness
i was very impressed with its sleek design and the speed of the processor itself .,design,DESIGN_FEATURES,impressed,positive,EAEO
i was very impressed with its sleek design and the speed of the processor itself .,processor,OPERATION_PERFORMANCE,impressed,positive,EAEO
"a few hours of use later , i noticed that my battery was very low , around 10 % .",battery,OPERATION_PERFORMANCE,low,negative,EAEO
"i even tried reinstalling the drivers and doing a system restore , nothing would fix it .",implicit,GENERAL,implicit,negative,IAIO
i contacted asus and they could do nothing .,asus,GENERAL,implicit,negative,EAIO
i was so glad that the problem would finally be fixed .,implicit,GENERAL,glad,positive,IAEO
"to my great dismay and disappointment , the power icon read the exact same message : ` ` plugged in , not charging ` ` .",power,OPERATION_PERFORMANCE,dismay,negative,EAEO
"to my great dismay and disappointment , the power icon read the exact same message : ` ` plugged in , not charging ` ` .",power,OPERATION_PERFORMANCE,disappointment,negative,EAEO
this was the second vivobook in a row !,vivobook,QUALITY,implicit,negative,EAIO
"am i just unlucky , or was this a bad batch ?",implicit,QUALITY,unlucky,negative,IAEO
"am i just unlucky , or was this a bad batch ?",implicit,QUALITY,bad,negative,IAEO
i ' ve only found 2 other recent reviews of this product that had the same problem ( go ahead and search for them in the reviews ) .,product,QUALITY,implicit,negative,EAIO
volume was not working .,volume,OPERATION_PERFORMANCE,implicit,negative,EAIO
they would help me only if i bought an ongoing support contract with them .,support,GENERAL,implicit,negative,EAIO
horrible way to run a company so i returned the item .,item,GENERAL,implicit,negative,EAIO
horrible way to run a company so i returned the item .,company,GENERAL,horrible,negative,EAEO
"i purchased this laptop on the 11th of june 2018 and today is the 25th , which means i have had it for just about 2 weeks .",laptop,GENERAL,implicit,neutral,EAIO
i noticed yesterday that the laptop was not charging anymore for reasons i can not deduce .,laptop,QUALITY,implicit,negative,EAIO
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,charging,OPERATION_PERFORMANCE,implicit,negative,EAIO
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,battery,OPERATION_PERFORMANCE,implicit,negative,EAIO
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,adapter,OPERATION_PERFORMANCE,good,positive,EAEO
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,charging,QUALITY,implicit,negative,EAIO
it appears the adapter may still be good as there are a few sparks when plugging into power but the charging light on the laptop does not come on and the battery is not charging .,battery,QUALITY,implicit,negative,EAIO
i will attempt to return it as i am out of the us right now .,implicit,GENERAL,implicit,negative,IAIO
it is quite disappointing .,implicit,GENERAL,disappointing,negative,IAEO
i am really concerned that this was not strongly made and just pretty .,implicit,GENERAL,just,negative,IAEO
now a few weeks later monitor has died again .,monitor,GENERAL,died,negative,EAEO
not worth it .,implicit,GENERAL,not,negative,IAEO
i will return it .,implicit,GENERAL,implicit,negative,IAIO
i thought it was a bad hdmi connection .,hdmi,CONNECTIVITY,bad,negative,EAEO
"this laptop is beautiful , and that ' s about it .",laptop,GENERAL,beautiful,positive,EAEO
it was fully charged and i only turned it on a total of 3 times before the screen went blank .,implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
it was fully charged and i only turned it on a total of 3 times before the screen went blank .,the,OPERATION_PERFORMANCE,implicit,neutral,EAIO
at all and it took several minutes to boot up .,boot,OPERATION_PERFORMANCE,implicit,negative,EAIO
turned it off and on and the screen still stays black but you can hear it running .,screen,OPERATION_PERFORMANCE,implicit,negative,EAIO
cons - no light to indicate caps lock .,caps,DESIGN_FEATURES,cons,negative,EAEO
"delete and power button too close to each other and looks the same , i accidentally pressed the power button couple of times .",delete,DESIGN_FEATURES,implicit,negative,EAIO
"delete and power button too close to each other and looks the same , i accidentally pressed the power button couple of times .",power,USABILITY,implicit,negative,EAIO
the built - in speaker is below average .,built,GENERAL,below,negative,EAEO
"pros - slim , lightweight laptop due to 8th gen core - i5 .",laptop,DESIGN_FEATURES,pros,positive,EAEO
"pros - slim , lightweight laptop due to 8th gen core - i5 .",laptop,DESIGN_FEATURES,slim,positive,EAEO
"pros - slim , lightweight laptop due to 8th gen core - i5 .",laptop,DESIGN_FEATURES,lightweight,positive,EAEO
"pros - slim , lightweight laptop due to 8th gen core - i5 .",8th,GENERAL,implicit,positive,EAIO
"on day one , i had been using it for maybe 2 hours and it randomly shut off .",implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
"then the next day , same thing , screen goes black and it dies .",screen,OPERATION_PERFORMANCE,implicit,negative,EAIO
"then the next day , same thing , screen goes black and it dies .",implicit,OPERATION_PERFORMANCE,dies,negative,IAEO
im returning it .,implicit,GENERAL,implicit,negative,IAIO
i will constantly be thinking about how it will probably fall apart in a few moths .,implicit,QUALITY,implicit,negative,IAIO
"aside from that , laptop seems fine .",laptop,GENERAL,fine,positive,EAEO
feel like at max brightness it just isn ' t enough .,implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
no backlit keyboard is kinda a bummer but i digress .,backlit,DESIGN_FEATURES,bummer,negative,EAEO
the issue is that i got a faulty laptop and that ' s why the negative review .,laptop,QUALITY,faulty,negative,EAEO
the issue is that i got a faulty laptop and that ' s why the negative review .,laptop,QUALITY,negative,negative,EAEO
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",asus,PRICE,implicit,positive,EAIO
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",hdd,GENERAL,better,positive,EAEO
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",ram,GENERAL,better,positive,EAEO
"i went with the asus vivobook based on the good specs , better hdd and ram , reviews , and because i could pay for it over several months .",specs,DESIGN_FEATURES,good,positive,EAEO
their only solution was for me to go through the whole rma process and mail the laptop back for repair which would take weeks .,implicit,GENERAL,implicit,negative,IAIO
"i ' m amazed how bad this machine is for the money , and for being described as a ` ` mid - level gamer . ` `",machine,PRICE,bad,negative,EAEO
"i ' m amazed how bad this machine is for the money , and for being described as a ` ` mid - level gamer . ` `",machine,GENERAL,bad,negative,EAEO
it stutters on a 10 year old game .,implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
"the form factor is nice , but the power key is in the upper right , easy to hit when using backspac nor page up .",form,DESIGN_FEATURES,nice,positive,EAEO
"the form factor is nice , but the power key is in the upper right , easy to hit when using backspac nor page up .",power,DESIGN_FEATURES,implicit,negative,EAIO
thanks amazon for your great return policy !,amazon,GENERAL,great,positive,EAEO
thanks amazon for your great return policy !,return,GENERAL,great,positive,EAEO
super thin - love the color - had to completely remove the operating system though - too many viruses already on the computer when received - had to get my own operating system and re - install everything,operating,GENERAL,implicit,negative,EAIO
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,6,QUALITY,fragile,negative,EAEO
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,keyboard,QUALITY,implicit,negative,EAIO
6 inch laptop it appears fragile the keyboard itself feels like the keys will pop out .,keys,QUALITY,implicit,negative,EAIO
sad that i can ' t return this one .,implicit,GENERAL,sad,negative,IAEO
plus the screen is bland .,screen,OPERATION_PERFORMANCE,bland,negative,EAEO
with this asus i ' m experiencing 2 very disappointing issues .,asus,GENERAL,disappointing,negative,EAEO
graphic issues : after opening any page or window with a black or dark color and i go back to a more bright or white page it takes at least 5 good second to gain the full luminosity,graphic,OPERATION_PERFORMANCE,implicit,negative,EAIO
"suddenly the keyboard goes crazy , starting on his own typing non stop ` ` mmmmmmmmm ` ` .",keyboard,OPERATION_PERFORMANCE,crazy,negative,EAEO
this is very disappointing an causing me big issues while i write .,implicit,OPERATION_PERFORMANCE,disappointing,negative,IAEO
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",implicit,DESIGN_FEATURES,great,positive,IAEO
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",implicit,OPERATION_PERFORMANCE,fast,positive,IAEO
"it looks great as design , fast , but this 2 issues make it the worst buy of the past 10 years for me .",implicit,GENERAL,worst,negative,IAEO
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,keys,USABILITY,easy,positive,EAEO
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,laptop,DESIGN_FEATURES,solid,positive,EAEO
the keys are easy to type on and the laptop itself is thin yet feels solid and well constructed .,laptop,DESIGN_FEATURES,well,positive,EAEO
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,GENERAL,well,positive,EAEO
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,GENERAL,perfect,positive,EAEO
this is a well constructed and powerful laptop that is perfect for everyday use as well as some otherwise intensive task such as large spreadsheets or presentations .,laptop,GENERAL,powerful,positive,EAEO
i double checked the outside labels and upon opening the box saw that the laptop had several deep scratches on the bottom of it .,laptop,QUALITY,implicit,neutral,EAIO
i contacted amazon and have been issued a refund and ordered a replacement .,amazon,GENERAL,implicit,neutral,EAIO
the m key popped off during initial setup .,m,QUALITY,implicit,negative,EAIO
amazon is 2 - day shipping me a replacement .,amazon,GENERAL,implicit,neutral,EAIO
"i love it at first , but today my laptop wasn ' t not charging any more .",laptop,GENERAL,love,positive,EAEO
"i love it at first , but today my laptop wasn ' t not charging any more .",laptop,OPERATION_PERFORMANCE,implicit,negative,EAIO
i noticed today the laptop was not charging anymore .,laptop,OPERATION_PERFORMANCE,implicit,negative,EAIO
it is very very disappointing .,implicit,GENERAL,disappointing,negative,IAEO
edit : reinstalled the driver now the audio is better on earphones .,audio,GENERAL,better,positive,EAEO
camera is sd but not a problem .,camera,GENERAL,implicit,neutral,EAIO
fingerprint scanner works well .,fingerprint,GENERAL,well,positive,EAEO
back lit keyboard should be a standard by now !,back,GENERAL,implicit,neutral,EAIO
battery is all day amazing,battery,GENERAL,amazing,positive,EAEO
with ssd lightning fast start up,ssd,OPERATION_PERFORMANCE,fast,positive,EAEO
no back light keyboard,keyboard,DESIGN_FEATURES,implicit,negative,EAIO
performance is mediocre,implicit,OPERATION_PERFORMANCE,mediocre,negative,IAEO
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,build,DESIGN_FEATURES,perfect,positive,EAEO
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,keyboard,DESIGN_FEATURES,flex,positive,EAEO
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,DESIGN_FEATURES,perfect,positive,EAEO
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,DESIGN_FEATURES,lightweight,positive,EAEO
consideration : if you are of average frame and strength then this build will be perfect and the keyboard flex and body is the perfect fit between lightweight and rigidity .,body,DESIGN_FEATURES,rigidity,positive,EAEO
"my friends , both female and male , are going to by this set up for their travel needs but for me it is lacking .",set,USABILITY,lacking,negative,EAEO
this adds to my need for a strong system and willing to sacrifice some weight for strength .,system,OPERATION_PERFORMANCE,strong,positive,EAEO
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .,laptop,PORTABILITY,amazing,positive,EAEO
best for : if you are looking for a travel laptop and are planning on doing light work this is an amazing buy for the price .,laptop,PRICE,amazing,positive,EAEO
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,implicit,PORTABILITY,light,positive,IAEO
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,battery,DESIGN_FEATURES,tiny,positive,EAEO
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,bezels,DESIGN_FEATURES,thin,positive,EAEO
not only is it light the battery charger is tiny and with the thin bezels this is a super compact design .,design,DESIGN_FEATURES,compact,positive,EAEO
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .,fan,GENERAL,implicit,negative,EAIO
even with the fan and heat if you use a cool mat on your lap you will be find especially with the screen being amazing for the price .,screen,PRICE,amazing,positive,EAEO
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as asus .,implicit,PRICE,amazing,positive,IAEO
for the price it is an amazing starting point and hard to beat especially with such an amazing brand such as asus .,asus,GENERAL,implicit,positive,EAIO
oh and this is a beautiful machine and the lid is amazing .,machine,DESIGN_FEATURES,beautiful,positive,EAEO
oh and this is a beautiful machine and the lid is amazing .,lid,DESIGN_FEATURES,amazing,positive,EAEO
"i like the laptop for it ' s hardware , and it ' s working properly .",hardware,GENERAL,like,positive,EAEO
"i like the laptop for it ' s hardware , and it ' s working properly .",laptop,OPERATION_PERFORMANCE,implicit,positive,EAIO
the actual laptop is very much darker and blue .,actual,DESIGN_FEATURES,implicit,neutral,EAIO
i ' m not at all happy about that .,implicit,DESIGN_FEATURES,not,negative,IAEO
the new computer failed again with the same error .,computer,QUALITY,failed,negative,EAEO
i am sure amazon will exchange it again but it is not worth the time and hassle .,amazon,GENERAL,implicit,neutral,EAIO
i am sure amazon will exchange it again but it is not worth the time and hassle .,implicit,GENERAL,not,negative,IAEO
the speakers are also not great and the max volume on watching netflix or other videos is rather quite .,speakers,OPERATION_PERFORMANCE,not,negative,EAEO
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",laptop,OPERATION_PERFORMANCE,annoying,negative,EAEO
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",speakers,GENERAL,bad,negative,EAEO
"its an ok laptop , it makes crackling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .",keyboard,GENERAL,good,positive,EAEO
the computer constantly pauses or stutters and then continues when it comes to loading web pages and working on documents .,computer,QUALITY,implicit,negative,EAIO
"overall , i ' m not very pleased with this computer .",computer,GENERAL,not,negative,EAEO
not happy with this one .,implicit,GENERAL,not,negative,IAEO
"the computer worked well for a few weeks , then the screen backlight died .",computer,GENERAL,well,positive,EAEO
"the computer worked well for a few weeks , then the screen backlight died .",screen,OPERATION_PERFORMANCE,died,negative,EAEO
the laptop does n ' t work .,laptop,QUALITY,implicit,negative,EAIO
i ' ve tried every single option and still ca n ' t use it .,implicit,OPERATION_PERFORMANCE,implicit,negative,IAIO
unable to contact asus support for help .,asus,GENERAL,implicit,negative,EAIO
will never buy an asus product again .,asus,GENERAL,implicit,negative,EAIO
should ' ve stick with my pixelbook which was awesome and never have me trouble .,pixelbook,GENERAL,awesome,positive,EAEO
"return window is just a month , nothing can be done and now i am on mercy of asus .",asus,GENERAL,implicit,negative,EAIO
no backlighting on the keyboard .,keyboard,DESIGN_FEATURES,implicit,negative,EAIO
( i had to check that the caps lock was off after typing that last word . ),caps,OPERATION_PERFORMANCE,implicit,negative,EAIO
"for the backlighting , he sent me some zip files for atk and chipset which i don ' t know how to use and which i shouldn ' t have to use .",implicit,GENERAL,implicit,negative,IAIO
the fan blows like crazy and it makes so much noise .,fan,OPERATION_PERFORMANCE,crazy,negative,EAEO
i don ' t even think i will be able to work on this it is so distracting .,implicit,OPERATION_PERFORMANCE,distracting,negative,IAEO
"this laptop was delivered with the screen broken , it was the christmas gift and when we removed the gift paper se found a laptop thant not worked , that ' s unfair and that should not be done yo any people on christmas night",implicit,GENERAL,unfair,negative,IAEO
battery life is only 3 .,battery,OPERATION_PERFORMANCE,implicit,negative,EAIO
high speed laptop,laptop,OPERATION_PERFORMANCE,high,positive,EAEO
mousepad doesn ' t work .,mousepad,QUALITY,implicit,negative,EAIO
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,laptop,GENERAL,implicit,negative,EAIO
i have used this laptop only for work and the battery lasts and hour at most on mid performance .,battery,OPERATION_PERFORMANCE,implicit,negative,EAIO
