Sentence,Aspect,Category,Opinion,Polarity,Implicitness
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,appearance#general,loved the look of these,negative,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",lace,appearance#shoe component,when you try to lace them tighter they just wrinkle,negative,EAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,performance#comfort,very uncomfortable,negative,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,performance#sizing/fit,very wide,negative,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,appearance#form,when you try to lace them tighter they just wrinkle,negative,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,appearance#form,would work best for someone with a wider foot,neutral,IAEO
"loved the look of these but couldn ' t wear them . they are very wide , and when you try to lace them tighter they just wrinkle and it ' s very uncomfortable . would work best for someone with a wider foot . returned .",null,cost/value,returned,negative,IAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",shoes,contextofuse#purchase\_context,bought two pairs,neutral,EAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",one pair fit,performance#sizing/fit,perfect,positive,EAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",this show,performance#sizing/fit,very small,negative,EAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",shoes,contextofuse#purchase\_context,returned and ordered a different pair,negative,EAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",null,performance#sizing/fit,i would need a size up,neutral,IAEO
"i bought two pairs of shoes at the same time , both size 9 which is the size of the shoes i have from new balance that i ' ve worn for the last year . one pair fit perfect but this show ran very small . i returned and ordered a different pair of shoes . if i bought these again i would need a size up . shoe was light weight and comfortable but i definitely like the fuelcell propel v2 better .",shoe,performance#comfort,light weight and comfortable,positive,EAEO
"i always wear an 11 and have no problems . these were too short , my toes hit the front of the shoe . instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",11,performance#sizing/fit,no problems,positive,EAEO
"i always wear an 11 and have no problems . these were too short , my toes hit the front of the shoe . instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",shoe,performance#sizing/fit,"too short , my toes hit the front of the shoe",negative,EAEO
"i always wear an 11 and have no problems . these were too short , my toes hit the front of the shoe . instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",returning,contextofuse#purchase\_context,hassle,negative,EAEO
"i always wear an 11 and have no problems . these were too short , my toes hit the front of the shoe . instead of the hassle of returning , i let my daughter wear them ( she wears a size 10 ) .",null,contextofuse#use case,let my daughter wear,positive,IAEO
i have had a couple of pairs of these before ( which i ' ve liked ! ) and was buying a new pair . this new pair i purchased was shorter in length for the same size i ' ve purchased in the past . i opted to return instead of size up .,pairs,general,i have had a couple of pairs of these before ( which i ' ve liked ! ),positive,EAEO
i have had a couple of pairs of these before ( which i ' ve liked ! ) and was buying a new pair . this new pair i purchased was shorter in length for the same size i ' ve purchased in the past . i opted to return instead of size up .,new pair,contextofuse#review\_temporality,shorter in length for the same size i ' ve purchased in the past,neutral,EAEO
i have had a couple of pairs of these before ( which i ' ve liked ! ) and was buying a new pair . this new pair i purchased was shorter in length for the same size i ' ve purchased in the past . i opted to return instead of size up .,new pair,performance#sizing/fit,shorter in length for the same size,negative,EAEO
i have had a couple of pairs of these before ( which i ' ve liked ! ) and was buying a new pair . this new pair i purchased was shorter in length for the same size i ' ve purchased in the past . i opted to return instead of size up .,return,cost/value,i opted to return instead of size up,negative,EAEO
i got these because they were listed as good walking shoes . they are not if you have a high arch . there is no arch support at all .,null,contextofuse#purchase\_context,i got these because they were listed as good walking shoes,neutral,IAEO
i got these because they were listed as good walking shoes . they are not if you have a high arch . there is no arch support at all .,null,performance#use case applicability,they are not if you have a high arch,negative,IAEO
i got these because they were listed as good walking shoes . they are not if you have a high arch . there is no arch support at all .,arch,appearance#shoe component,they are not if you have a high arch,negative,EAEO
i got these because they were listed as good walking shoes . they are not if you have a high arch . there is no arch support at all .,null,performance#support/stability,there is no arch support at all,negative,IAEO
i got these because they were listed as good walking shoes . they are not if you have a high arch . there is no arch support at all .,arch support,appearance#shoe component,there is no arch support at all,negative,EAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,null,performance#sizing/fit,i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide,negative,IAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,null,contextofuse#purchase\_context,i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide,neutral,IAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,new balance,contextofuse#usage frequency,workout 5 days a week,neutral,EAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,workout,contextofuse#use case,workout 5 days a week,neutral,EAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,new balance,performance#comfort,i need the comfort,negative,EAEO
i bought my size ( 7 1 / 2 ) too small so i went up an half size ( 8 ) and still not fitting in length width is too wide . i workout 5 days a week and i need the comfort of the new balance . i would appreciate some feedback on sizing,null,performance#sizing/fit,i would appreciate some feedback on sizing,negative,IAEO
i have had these shoes for less than a month and the gold stripe is already coming off one shoe . it is starting to come off on the other as well .,shoes,contextofuse#usage frequency,i have had these shoes for less than a month and the gold stripe is already coming off one shoe,negative,EAEO
i have had these shoes for less than a month and the gold stripe is already coming off one shoe . it is starting to come off on the other as well .,gold stripe,appearance#shoe component,i have had these shoes for less than a month and the gold stripe is already coming off one shoe,negative,EAEO
i have had these shoes for less than a month and the gold stripe is already coming off one shoe . it is starting to come off on the other as well .,null,appearance#shoe component,it is starting to come off on the other as well,negative,IAEO
i use them for a zumba class and i don ' t think they really have enough support . i like the style of them and how light they are but i would like more support .,null,contextofuse#use case,use them for a zumba class,neutral,IAEO
i use them for a zumba class and i don ' t think they really have enough support . i like the style of them and how light they are but i would like more support .,null,performance#support/stability,don ' t think they really have enough support,negative,IAEO
i use them for a zumba class and i don ' t think they really have enough support . i like the style of them and how light they are but i would like more support .,null,appearance#form,like the style,positive,IAEO
i use them for a zumba class and i don ' t think they really have enough support . i like the style of them and how light they are but i would like more support .,null,appearance#material,how light they are,positive,IAEO
i use them for a zumba class and i don ' t think they really have enough support . i like the style of them and how light they are but i would like more support .,null,performance#support/stability,would like more support,negative,IAEO
runs small . i ' m a 10 in women ' s and these were very small . not comfortable and quality was lacking .,null,performance#sizing/fit,runs small,negative,IAEO
runs small . i ' m a 10 in women ' s and these were very small . not comfortable and quality was lacking .,null,performance#sizing/fit,these were very small,negative,IAEO
runs small . i ' m a 10 in women ' s and these were very small . not comfortable and quality was lacking .,null,appearance#misc,quality was lacking,negative,IAEO
runs small . i ' m a 10 in women ' s and these were very small . not comfortable and quality was lacking .,null,performance#comfort,not comfortable,negative,IAEO
these shoes are basics useless because the soles squeak . it ' s annoying to walk in them and i feel self content when people are near .,shoes,performance#general,basics useless,negative,EAEO
these shoes are basics useless because the soles squeak . it ' s annoying to walk in them and i feel self content when people are near .,soles,appearance#shoe component,the soles squeak,negative,EAEO
these shoes are basics useless because the soles squeak . it ' s annoying to walk in them and i feel self content when people are near .,shoes,performance#use case applicability,the soles squeak,negative,EAEO
these shoes are basics useless because the soles squeak . it ' s annoying to walk in them and i feel self content when people are near .,null,performance#use case applicability,annoying to walk in,negative,IAEO
these shoes are basics useless because the soles squeak . it ' s annoying to walk in them and i feel self content when people are near .,null,contextofuse#use case,feel self content when people are near,negative,IAEO
bought these shoes & amp ; 1 . 5 months later the tread is pealing off the bottom . customer service wont fix . will never buy new balance shoes again .,shoes,contextofuse#review\_temporality,& amp ; 1 . 5 months later,neutral,EAEO
bought these shoes & amp ; 1 . 5 months later the tread is pealing off the bottom . customer service wont fix . will never buy new balance shoes again .,tread,performance#durability,is pealing off the bottom,negative,EAEO
bought these shoes & amp ; 1 . 5 months later the tread is pealing off the bottom . customer service wont fix . will never buy new balance shoes again .,tread,appearance#shoe component,is pealing off the bottom,negative,EAEO
bought these shoes & amp ; 1 . 5 months later the tread is pealing off the bottom . customer service wont fix . will never buy new balance shoes again .,null,contextofuse#purchase\_context,customer service wont fix,negative,IAEO
bought these shoes & amp ; 1 . 5 months later the tread is pealing off the bottom . customer service wont fix . will never buy new balance shoes again .,new balance shoes,cost/value,will never buy new balance shoes again,negative,EAEO
like the look and feel of these shoes . the memory foam insert in soft however i ' m used to the added arch response 2 . 0 insert from the fuel core coast so it ' s hard to get used to as it feels so narrow .,shoes,appearance#general,like the look and feel of these shoes,positive,EAEO
like the look and feel of these shoes . the memory foam insert in soft however i ' m used to the added arch response 2 . 0 insert from the fuel core coast so it ' s hard to get used to as it feels so narrow .,shoes,performance#general,like the look and feel of these shoes,positive,EAEO
like the look and feel of these shoes . the memory foam insert in soft however i ' m used to the added arch response 2 . 0 insert from the fuel core coast so it ' s hard to get used to as it feels so narrow .,memory foam insert,appearance#shoe component,in soft,positive,EAEO
like the look and feel of these shoes . the memory foam insert in soft however i ' m used to the added arch response 2 . 0 insert from the fuel core coast so it ' s hard to get used to as it feels so narrow .,null,appearance#form,it ' s hard to get used to as it feels so narrow,negative,IAEO
i bought for running and after my second pair the first pair were to small and not wide enough but i dont have wide feet . . . 2nd pair up a size and got the wide still not wide enough and are to big,first pair,contextofuse#use case,i bought for running,neutral,EAEO
i bought for running and after my second pair the first pair were to small and not wide enough but i dont have wide feet . . . 2nd pair up a size and got the wide still not wide enough and are to big,first pair,performance#sizing/fit,to small and not wide enough,negative,EAEO
i bought for running and after my second pair the first pair were to small and not wide enough but i dont have wide feet . . . 2nd pair up a size and got the wide still not wide enough and are to big,2nd pair,performance#sizing/fit,the wide still not wide enough and are to big,negative,EAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",shoe,general,wanted to love,negative,EAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,performance#support/stability,lots of support,positive,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,performance#use case applicability,light for zumba,positive,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,performance#sizing/fit,but the fit was too small,negative,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,performance#sizing/fit,and am cautious about ordering the next size up,negative,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,contextofuse#purchase\_context,i had to return,negative,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",null,contextofuse#purchase\_context,and am cautious about ordering the next size up,negative,IAEO
"wanted to love this shoe . lots of support , light for zumba , but the fit was too small . i had to return , and am cautious about ordering the next size up . this is a disappointment , as new balance shoes always fit so well .",new balance shoes,performance#sizing/fit,"this is a disappointment , as new balance shoes always fit so well",negative,EAEO
"this is the 3rd time i ' m buying this shoes , so clearly i love these shoes . my perfect winter shoes .",shoes,general,i love,positive,EAEO
"this is the 3rd time i ' m buying this shoes , so clearly i love these shoes . my perfect winter shoes .",shoes,contextofuse#purchase\_context,this is the 3rd time i ' m buying,neutral,EAEO
"this is the 3rd time i ' m buying this shoes , so clearly i love these shoes . my perfect winter shoes .",shoes,contextofuse#use case,my perfect winter shoes,positive,EAEO
usually really like nb . this particular show has too small toe box . orthotic will not fit ! !,nb,general,usually really like nb,negative,EAEO
usually really like nb . this particular show has too small toe box . orthotic will not fit ! !,particular show,appearance#form,too small toe box,negative,EAEO
usually really like nb . this particular show has too small toe box . orthotic will not fit ! !,orthotic,appearance#form,will not fit,negative,EAEO
"this looks like it is supposed to be a replacement for the 1069 , which was a great shoe for my problem feet .",1069,performance#general,great shoe for my problem feet,positive,EAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,top,appearance#shoe component,started to come apart at the top,negative,EAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,both shoes,performance#support/stability,loved the support,positive,EAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,both shoes,performance#durability,started to come apart at the top,negative,EAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,null,appearance#shoe component,same spot so i think there is a design flaw,negative,IAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,null,performance#durability,not sure how long these will last,negative,IAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,null,contextofuse#usage frequency,after 1 week and 1 4 mile hiking trip,neutral,IAEO
i loved the support however started to come apart at the top on both shoes . same spot so i think there is a design flaw . not sure how long these will last . this was after 1 week and 1 4 mile hiking trip .,null,performance#use case applicability,after 1 week and 1 4 mile hiking trip,negative,IAEO
perfect to go any where you want and home too yes ! !,null,contextofuse#use case,perfect to go any where you want and home,positive,IAEO
"nervous at first because of reviews but i have a big foot and i find it so comfortable to squat , deadlift , and powerclean in . id say 4 / 5 because cant run in it .",null,performance#use case applicability,"find it so comfortable to squat , deadlift , and powerclean in",positive,IAEO
"nervous at first because of reviews but i have a big foot and i find it so comfortable to squat , deadlift , and powerclean in . id say 4 / 5 because cant run in it .",run,performance#use case applicability,4 / 5 because cant run in it,negative,EAEO
they we ' re uncomfortable for my feet . i have a wider food . good looking shoe but i returned them !,null,performance#comfort,uncomfortable for my feet,negative,IAEO
they we ' re uncomfortable for my feet . i have a wider food . good looking shoe but i returned them !,shoe,appearance#general,good looking shoe but i returned them,positive,EAEO
they we ' re uncomfortable for my feet . i have a wider food . good looking shoe but i returned them !,shoe,cost/value,good looking shoe but i returned them,negative,EAEO
shoes look great . ordered a wide for my hubby and he couldn ' t even get his foot into the shoe . had to return .,shoes,appearance#general,look great,positive,EAEO
shoes look great . ordered a wide for my hubby and he couldn ' t even get his foot into the shoe . had to return .,for my hubby,contextofuse#purchase\_context,ordered a wide,neutral,EAEO
shoes look great . ordered a wide for my hubby and he couldn ' t even get his foot into the shoe . had to return .,shoe,performance#sizing/fit,couldn ' t even get his foot into the shoe,negative,EAEO
shoes look great . ordered a wide for my hubby and he couldn ' t even get his foot into the shoe . had to return .,null,cost/value,had to return,negative,IAEO
these new ones are ugly and have too much sole . i bought like 4 pairs of the last minimus tr please bring them back,sole,appearance#shoe component,have too much sole,negative,EAEO
these new ones are ugly and have too much sole . i bought like 4 pairs of the last minimus tr please bring them back,null,appearance#form,new ones are ugly,negative,IAEO
these new ones are ugly and have too much sole . i bought like 4 pairs of the last minimus tr please bring them back,minimus,contextofuse#purchase\_context,please bring them back,neutral,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,performance#comfort,didn ' t think they would be as comfortable as they are without padding,positive,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,performance#use case applicability,very comfortable for my purpose as a house shoe,positive,EAEO
didn ' t think they would be as comfortable as they are without padding but very comfortable for my purpose as a house shoe i ' ve only ever had nike and jordan slides but these are a part of my collection and i can ' t complain,shoe,cost/value,these are a part of my collection and i can ' t complain,positive,EAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,shoes,appearance#form,too high for my feet,negative,EAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,null,performance#comfort,cut into my ankles,negative,IAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,ankles,appearance#shoe component,cut into my ankles,negative,EAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,toe box,appearance#shoe component,had been reccommended for support and wide toe box but didn ' t meet either expectation,negative,EAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,null,performance#support/stability,had been reccommended for support and wide toe box but didn ' t meet either expectation,negative,IAEO
these shoes are too high for my feet . they cut into my ankles . they had been reccommended for support and wide toe box but didn ' t meet either expectation . i have bunions and have problems finding a shoe with wide toe box and normal heel .,shoe,appearance#form,problems finding a shoe with wide toe box and normal heel,neutral,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",sneaker,contextofuse#purchase\_context,ordered this sneaker in the size i normally wear and in a wide width,neutral,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",sneaker,appearance#misc,extremely well made,positive,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",shoe,general,it ' s a solid shoe,positive,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",shoe,appearance#general,very cute,positive,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",width,appearance#shoe component,"width was great , but the length was too short",positive,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",length,appearance#shoe component,"width was great , but the length was too short",negative,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",null,performance#sizing/fit,"width was great , but the length was too short",neutral,IAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",toes,appearance#shoe component,were right at the end,negative,EAEO
"i ordered this sneaker in the size i normally wear and in a wide width in order to accommodate my bunion . the sneaker is extremely well made . it ' s a solid shoe and very cute . the width was great , but the length was too short . my toes were right at the end . unfortunately i had to send them back .",null,cost/value,unfortunately i had to send them back,negative,IAEO
had to cut off front of shore to wear sorry i bought on line,shore,performance#sizing/fit,had to cut off front of shore to wear,negative,EAEO
had to cut off front of shore to wear sorry i bought on line,shore,contextofuse#purchase\_context,sorry i bought on line,negative,EAEO
these shoes are comfortable and supportive . money worth spent this time around .,shoes,performance#comfort,comfortable,positive,EAEO
these shoes are comfortable and supportive . money worth spent this time around .,shoes,performance#support/stability,supportive,positive,EAEO
these shoes are comfortable and supportive . money worth spent this time around .,null,cost/value,money worth spent this time around,positive,IAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable . the size is a tad bit short . i will not purchase this shoe again .,shoe,performance#use case applicability,i am not happy because the shoe is heavy,negative,EAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable . the size is a tad bit short . i will not purchase this shoe again .,arch,appearance#shoe component,is not comfortable,negative,EAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable . the size is a tad bit short . i will not purchase this shoe again .,null,performance#sizing/fit,size is a tad bit short,negative,IAEO
i am not happy because the shoe is heavy along with an arch that is not comfortable . the size is a tad bit short . i will not purchase this shoe again .,shoe,cost/value,i will not purchase this shoe again,negative,EAEO
"i think i would ' ve loved these shoes but they were like 1 / 2 inch too short compared to every other pair of nb shoes i ' ve had over 20 years . i don ' t understand how they haven ' t fixed this yet . my wife ordered a pair ( the ones this review is based on ) and same thing , too short . fix it please !",shoes,performance#sizing/fit,i think i would ' ve loved these shoes but they were like 1 / 2 inch too short,negative,EAEO
"i think i would ' ve loved these shoes but they were like 1 / 2 inch too short compared to every other pair of nb shoes i ' ve had over 20 years . i don ' t understand how they haven ' t fixed this yet . my wife ordered a pair ( the ones this review is based on ) and same thing , too short . fix it please !",null,performance#general,i don ' t understand how they haven ' t fixed this yet,negative,IAEO
